CNT,Image Path,Launch String,MD5,Signer
10,c:\windows\system32\memorydiagnostic.dll,HKCR\CLSID\{8168E74A-B39F-46D8-ADCD-7BED477B80A3},3005A831EBAD9BEDEA70FD2CAE764710,(Verified) Microsoft Windows
10,c:\windows\system32\umpnpmgr.dll,%SystemRoot%\system32\svchost.exe -k DcomLaunch -p,03BA8BB294CE2B52D9E8F64E94B4B402,(Verified) Microsoft Windows
10,c:\windows\system32\winrnr.dll,%SystemRoot%\System32\winrnr.dll,0C0EDC90F6D3F80EE82DAC1586F432AF,(Verified) Microsoft Windows
10,c:\windows\system32\nlaapi.dll,%SystemRoot%\system32\NLAapi.dll,7FC7B6767D7AE919B26FB1F393F2F11B,(Verified) Microsoft Windows
10,c:\windows\system32\twext.dll,HKCR\CLSID\{596AB062-B4D2-4215-9F74-E9109B0A8153},CC86AB5B43942CBBDA56F964506061EC,(Verified) Microsoft Windows
10,c:\windows\system32\napinsp.dll,%SystemRoot%\system32\napinsp.dll,9A2DF1905A6AC59527FED7D0DFEBA42D,(Verified) Microsoft Windows
10,c:\windows\system32\wshbth.dll,%SystemRoot%\system32\wshbth.dll,78AA5FEDC6ECA8269093F4D1EE2A27B3,(Verified) Microsoft Windows
10,c:\windows\system32\itss.dll,HKCR\CLSID\{9D148291-B9C8-11D0-A4CC-0000F80149F6},2724E113A1307C95544237B5727DD185,(Verified) Microsoft Windows
8,c:\windows\syswow64\wdmaud.drv,wdmaud.drv,743E0E02EDB2F3E594BF548942286E62,(Verified) Microsoft Windows
8,c:\windows\system32\tpmtasks.dll,HKCR\CLSID\{5014B7C8-934E-4262-9816-887FA745A6C4},47B9F51CC09D7BAFA2ACF729C9A66881,(Verified) Microsoft Windows
8,c:\windows\system32\pnrpnsp.dll,%SystemRoot%\system32\pnrpnsp.dll,0E64A2E7034B28864254A19C8E5FF84D,(Verified) Microsoft Windows
8,c:\windows\system32\wdmaud.drv,wdmaud.drv,E6E67E7C7554A583B2A0C61FF7C1144A,(Verified) Microsoft Windows
8,c:\windows\system32\appmanagementconfiguration.dll,AppManagementConfiguration.dll,28041C51EF2A6B18DE7673AA512BB7AC,(Verified) Microsoft Windows
8,c:\windows\system32\cscui.dll,HKCR\CLSID\{FA3F3DD9-4C1A-456B-A8FA-C76EF3ED83B8},F0DA491C758DC53340E56E1BF5C95CE9,(Verified) Microsoft Windows
8,c:\windows\system32\languagecomponentsinstaller.dll,HKCR\CLSID\{6F58F65F-EC0E-4ACA-99FE-FC5A1A25E4BE},E6741FD49F3A265C0C6391B8449C5AC3,(Verified) Microsoft Windows
8,c:\windows\system32\discan.dll,HKCR\CLSID\{DCFD3EA8-D960-4719-8206-490AE315F94F},C43F1CD57A7E4F0C10FD16468DB60281,(Verified) Microsoft Windows
8,c:\windows\system32\shell32.dll,HKCR\CLSID\{A470F8CF-A1E8-4f65-8335-227475AA5C46},01CE3FDC3AAF5E7E6B43378899AB3953,(Verified) Microsoft Windows
8,c:\windows\system32\srmshell.dll,HKCR\CLSID\{748F920F-FB24-4D09-B360-BAF6F199AD6D},3787D1A6764AF366802B293CC1C325F3,(Verified) Microsoft Windows
8,c:\windows\system32\apphostregistrationverifier.exe,"%windir%\system32\AppHostRegistrationVerifier.exe" ,6E3FA2CAB3A58209EA4C3FCC522D5F16,(Verified) Microsoft Windows
8,c:\windows\system32\shell32.dll,HKCR\CLSID\{fbeb8a05-beee-4442-804e-409d6c4515e9},01CE3FDC3AAF5E7E6B43378899AB3953,(Verified) Microsoft Windows
8,c:\windows\system32\tbauth.dll,HKCR\CLSID\{14654CA6-5711-491D-B89A-58E571679951},5F2C2258EEBC5941B94D2B70EBED31E6,(Verified) Microsoft Windows
8,c:\windows\system32\urlmon.dll,HKCR\CLSID\{79eac9e7-baf9-11ce-8c82-00aa004ba90b},AEEC710364246E6EB2BC2935F62718E9,(Verified) Microsoft Windows
8,c:\windows\explorer.exe,explorer.exe,2F62005FCEA7430BB871A56F7700F81C,(Verified) Microsoft Windows
8,c:\windows\system32\mswsock.dll,%SystemRoot%\System32\mswsock.dll,CDC18221A46F3752BC17BCE554A8A554,(Verified) Microsoft Windows
8,c:\windows\system32\dggpext.dll,dggpext.dll,0EC99893B470D50A11FE19A12A981569,(Verified) Microsoft Windows
8,c:\windows\system32\pwlauncher.dll,pwlauncher.dll,1CCEEDF445DF7A7006EFA19041A89D87,(Verified) Microsoft Windows
8,c:\windows\system32\icsvc.dll,%systemroot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,9ADDF67DAA92F557CA61EE743D16A237,(Verified) Microsoft Windows
8,c:\windows\system32\gptext.dll,gptext.dll,945AE173463E8BADF124A4DE74D3AF1D,(Verified) Microsoft Windows
8,c:\windows\system32\drivers\wanarp.sys,System32\DRIVERS\wanarp.sys,0F7175DF53E9BC93F53DF27B2361464A,(Verified) Microsoft Windows
8,c:\windows\system32\drivers\tcpip.sys,System32\drivers\tcpip.sys,B0831647C95C4EB1496DB8C9C6304D20,(Verified) Microsoft Windows
8,c:\windows\system32\mshtml.dll,HKCR\CLSID\{3050F3B2-98B5-11CF-BB82-00AA00BDCE0B},16D225FB93FF665B8757B7FC49318CEF,(Verified) Microsoft Windows
7,c:\windows\system32\drivers\bcmfn2.sys,\SystemRoot\System32\drivers\bcmfn2.sys,739D089777D2B66DBE7201E5EA4BA2D7,(Verified) Microsoft Windows
7,c:\windows\syswow64\wow64win.dll,wow64win.dll,,
7,c:\windows\syswow64\wow64.dll,wow64.dll,,
7,File not found: atmfd.dll,atmfd.dll,,
7,c:\windows\syswow64\xtajit.dll,xtajit.dll,,
7,c:\windows\syswow64\wow64cpu.dll,wow64cpu.dll,,
7,c:\windows\system32\drivers\ialpssi_i2c.sys,\SystemRoot\System32\drivers\iaLPSSi_I2C.sys,EB82A11613326691508D9ED9A4FE29E7,(Verified) Microsoft Windows
7,c:\windows\syswow64\wowarmhw.dll,wowarmhw.dll,,
7,c:\windows\system32\drivers\ialpssi_gpio.sys,\SystemRoot\System32\drivers\iaLPSSi_GPIO.sys,16A10CCEDCF5AC4CAAE43DC9FC40392F,(Verified) Intel Corporation - Client Components Group
7,c:\windows\system32\ieframe.dll,HKCR\CLSID\{CFBFAE00-17A6-11D0-99CB-00C04FD64497},6186688498CCDC888418833CB1E082D0,(Verified) Microsoft Windows
7,c:\windows\system32\wowarmhw.dll,wowarmhw.dll,,
7,c:\windows\system32\xtajit.dll,xtajit.dll,,
7,c:\windows\system32\drivers\e1g6032e.sys,\SystemRoot\System32\drivers\E1G6032E.sys,CCED99682127E8582E5F716ECE775EF8,(Verified) Microsoft Windows
6,c:\windows\system32\usoclient.exe,"%systemroot%\system32\usoclient.exe" StartWork,23911847ACA3CBA2D28204EFC88067DC,(Verified) Microsoft Windows
6,c:\windows\system32\iedkcs32.dll,C:\Windows\System32\iedkcs32.dll,DBA1D4066A104EA66F9A54D645D670D0,(Verified) Microsoft Windows
6,c:\windows\system32\sppcext.dll,HKCR\CLSID\{B1AEBB5D-EAD9-4476-B375-9C3ED9F32AFC},EA800F5933EA860268F92492FA91E73A,(Verified) Microsoft Windows
6,c:\windows\system32\inputcloudstore.dll,HKCR\CLSID\{378EAB97-EFD6-4ED5-9AD9-E64A6AA1E6FA},2BDA7F55BA62194AF6937AA8D1D60922,(Verified) Microsoft Windows
6,c:\windows\system32\discan.dll,HKCR\CLSID\{DCFD3EA8-D960-4719-8206-490AE315F94F},DFBFF4F17899F181F65A24B865AA703D,(Verified) Microsoft Windows
6,c:\windows\system32\dimsjob.dll,HKCR\CLSID\{58FB76B9-AC85-4E55-AC04-427593B1D060},F74FF32214E772028A7394391ACD9DED,(Verified) Microsoft Windows
6,c:\windows\system32\ngctasks.dll,HKCR\CLSID\{47E30D54-DAC1-473A-AFF7-2355BF78881F},930947A43AF5ADF6EBCE29DAF385DA64,(Verified) Microsoft Windows
6,c:\windows\system32\lsass.exe,%SystemRoot%\system32\lsass.exe,E9D7239531ECC945999D68A8F7FF2B8A,(Verified) Microsoft Windows Publisher
6,c:\windows\system32\svchost.exe,C:\Windows\system32\svchost.exe -k DevicesFlow,E1660E3E97A5550C08DA13F6EAD6B37E,(Verified) Microsoft Windows Publisher
6,c:\program files\7-zip\7-zip.dll,HKCR\CLSID\{23170F69-40C1-278A-1000-000100020000},1193CBE87E8C399B0D52C6789AD560ED,(Not Verified) Igor Pavlov
6,c:\windows\system32\mscoree.dll,HKCR\CLSID\{1E66F26B-79EE-11D2-8710-00C04F79ED0D},A54E980E453ED712A6ECF639CA70F4DB,(Verified) Microsoft Windows
6,c:\windows\system32\edptask.dll,HKCR\CLSID\{61BCD1B9-340C-40EC-9D41-D7F1C0632F05},E6B3B169DF95EDED6021E67296997AF4,(Verified) Microsoft Windows
6,c:\windows\system32\workfoldersshell.dll,HKCR\CLSID\{E61BF828-5E63-4287-BEF1-60B1A4FDE0E3},196E3592C1592F8AAEB36EE0ECFA3A4B,(Verified) Microsoft Windows
6,c:\windows\system32\shell32.dll,HKCR\CLSID\{a2a9545d-a0c2-42b4-9708-a0b2badd77c8},6BF179360B10864108B63B821D661CCF,(Verified) Microsoft Windows
6,c:\windows\system32\cscui.dll,HKCR\CLSID\{7EFA68C6-086B-43e1-A2D2-55A113531240},D6548C098DAFA10F902F870AB5FFDF4F,(Verified) Microsoft Windows
6,c:\windows\syswow64\msyuv.dll,msyuv.dll,D7465B1E9B21CE1962EDD06C61DB7CF7,(Verified) Microsoft Windows
6,c:\windows\system32\msyuv.dll,msyuv.dll,5BDA72B81E2D3F9334DF80193C3F0CB7,(Verified) Microsoft Windows
6,c:\windows\system32\cscui.dll,HKCR\CLSID\{474C98EE-CF3D-41f5-80E3-4AAB0AB04301},D6548C098DAFA10F902F870AB5FFDF4F,(Verified) Microsoft Windows
6,c:\program files\windows defender\shellext.dll,HKCR\CLSID\{09A47860-11B0-4DA5-AFA5-26D86198A780},E882348E04724A3C52F341D65454BAF6,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ufxchipidea.sys,\SystemRoot\System32\drivers\UfxChipidea.sys,D5E1A8CB08CEF619E0949535C917621C,(Verified) Microsoft Windows
5,c:\windows\system32\imaadp32.acm,imaadp32.acm,F06278B7B13D24DCC6928951D01574AA,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\rdpvideominiport.sys,System32\drivers\rdpvideominiport.sys,0631645A1C5196BA5D5AC6C186CF55FA,(Verified) Microsoft Windows
5,c:\windows\system32\midimap.dll,midimap.dll,B56AAB10E981BB84A6CB076CF1CE8A6A,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\rfcomm.sys,\SystemRoot\System32\drivers\rfcomm.sys,D8D7FEED713C25F089CE0768C266EAA1,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\rhproxy.sys,\SystemRoot\System32\drivers\rhproxy.sys,DF8FE557182A7B2C2D7ED893A04A63E9,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\rspndr.sys,system32\drivers\rspndr.sys,7936E95FFEA1758638715C6465B2A739,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\vms3cap.sys,\SystemRoot\System32\drivers\vms3cap.sys,FC7A59A1AA07632AF8E9DC254918F879,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\sacdrv.sys,system32\DRIVERS\sacdrv.sys,9D5D4F8FDCDC10081101131318142238,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\scfilter.sys,System32\DRIVERS\scfilter.sys,EFBD152E3DBA02D06C7D2FF1E034919B,(Verified) Microsoft Windows
5,c:\windows\system32\l3codeca.acm,C:\Windows\System32\l3codeca.acm,24F5292DBAFCC2C7DEC71D5F19550BA5,(Verified) Microsoft Windows
5,c:\windows\system32\msadp32.acm,msadp32.acm,18B340EC89A96A44D5C9444760F2BC63,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ql40xx2i.sys,System32\drivers\ql40xx2i.sys,3C11830C748389440B9DAC9F7A9C6854,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\qlfcoei.sys,System32\drivers\qlfcoei.sys,61AE5E3FC5DB61DF30FC2E34CA44B5A2,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\qwavedrv.sys,\SystemRoot\system32\drivers\qwavedrv.sys,4DAB92FD311B9F841EE40EF7B967DF8E,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ramdisk.sys,system32\DRIVERS\ramdisk.sys,342F9BA59313C2B796241DCECE18B727,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\rasacd.sys,System32\DRIVERS\rasacd.sys,7BE861DDB225B0C373FE1FCA3BE8A3B0,(Verified) Microsoft Windows
5,c:\windows\system32\msg711.acm,msg711.acm,45E975E36664148A4B00E690E9B1A95C,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\umpass.sys,\SystemRoot\System32\drivers\umpass.sys,826827B952041E884774E0A87AA3D216,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\rdpbus.sys,\SystemRoot\System32\drivers\rdpbus.sys,76C18F3B4EB5BC611FA7F249CF676911,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\rasl2tp.sys,\SystemRoot\System32\drivers\rasl2tp.sys,6E28E1CE915FE617D4F38BFB8543696F,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\raspppoe.sys,System32\DRIVERS\raspppoe.sys,252FDEF9B98564F47A36CF11911D926C,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\rassstp.sys,\SystemRoot\System32\drivers\rassstp.sys,71A6C25E3B9C7BDF0ACE20958F2CF8C4,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\umbus.sys,\SystemRoot\System32\drivers\umbus.sys,07B0CD801BBF164F36DA3EE9F25C721D,(Verified) Microsoft Windows
5,c:\windows\system32\twext.dll,HKCR\CLSID\{596AB062-B4D2-4215-9F74-E9109B0A8153},81D3D5B58F540E0CCCBBC9ED169C3469,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\rasgre.sys,\SystemRoot\System32\drivers\rasgre.sys,5008678D3AC377C4D6EC605D75F56C6E,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\udecx.sys,system32\drivers\udecx.sys,EDFDDA5AF0557E6BF265893A223EDDD0,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ucmcx.sys,System32\Drivers\UcmCx.sys,B5A296C6DE5A56B62FB98859A8AB6C10,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\spbcx.sys,system32\drivers\SpbCx.sys,AD40AC6DC145B2C48A58EF61AF8ECE82,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\uaspstor.sys,\SystemRoot\System32\drivers\uaspstor.sys,4631D2B2B5567A768389796A267ABED9,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\stexstor.sys,System32\drivers\stexstor.sys,CE0F176C7C3DC2AEA1C75EF6A7583B67,(Verified) Microsoft Windows
5,c:\windows\system32\docprop.dll,HKCR\CLSID\{3EA48300-8CF6-101B-84FB-666CCB9BCD32},7B1F39BFA7C41037ECBFB7185B79AEB7,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\tsusbgd.sys,\SystemRoot\System32\drivers\TsUsbGD.sys,C7E9FAB0880D66EFB62C2B6314284D47,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\tsusbflt.sys,system32\drivers\tsusbflt.sys,19DC44DF9C859396B3608F5CF5C83D82,(Verified) Microsoft Windows
5,c:\windows\system32\dllhost.exe,%SystemRoot%\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},D2AB39EA2C0FCD172751F84BDA723A97,(Verified) Microsoft Windows
5,c:\windows\system32\dmwappushsvc.dll,%SystemRoot%\system32\svchost.exe -k netsvcs -p,18286E4DF795E502905EC5218E5726F8,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\storqosflt.sys,system32\drivers\storqosflt.sys,EB2501453E8ECD44D8C6FA954D746310,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\terminpt.sys,\SystemRoot\System32\drivers\terminpt.sys,DC451F4DC01E116C35121EBD6813618E,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\tcpipreg.sys,System32\drivers\tcpipreg.sys,A8766E18A1E2D41301E7A8EEFBABCDDD,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\smbdirect.sys,System32\DRIVERS\smbdirect.sys,039E1D037ED8D8F55962EE49F4B74B8F,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\smartsamd.sys,System32\drivers\SmartSAMD.sys,CFFE219F9CA183C40AA5D44DC26E6F2D,(Verified) Microsoft Windows
5,c:\windows\system32\driverstore\filerepository\swenum.inf_amd64_31f554b660026323\swenum.sys,\SystemRoot\System32\DriverStore\FileRepository\swenum.inf_amd64_31f554b660026323\swenum.sys,B8ACABC8939CB50047C2BF0272B5156C,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\sdfrd.sys,\SystemRoot\System32\drivers\SDFRd.sys,1E7ECD63D209EE5CE02E582CA8918023,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ucx01000.sys,system32\drivers\ucx01000.sys,8BC17A0C2D93B66CDA5C5A9DC6854406,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ucmucsi.sys,\SystemRoot\System32\drivers\UcmUcsi.sys,EB21892E714A16FAA18642F3A53A26B8,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ucmtcpcicx.sys,System32\Drivers\UcmTcpciCx.sys,9E8CC2A2F39A6C5377B4A2D3A061A429,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\sercx.sys,system32\drivers\SerCx.sys,4358940866F520CCF4D64185F771F19C,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\sercx2.sys,system32\drivers\SerCx2.sys,AAE554DB5302A636B078F9C19E02E7FC,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\serenum.sys,\SystemRoot\System32\drivers\serenum.sys,51B9B16E99B1EF7D2107629DB8C4B578,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\serial.sys,\SystemRoot\System32\drivers\serial.sys,6D581AD1593B35711075886F153A8BAE,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\sermouse.sys,\SystemRoot\System32\drivers\sermouse.sys,43E10E093B3249C78D649A4096271AA0,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\sgrmagent.sys,system32\drivers\SgrmAgent.sys,01D980C33003B078324E3FE032C8A42A,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\sisraid2.sys,System32\drivers\SiSRaid2.sys,12E42E20BC0ABF8FC2AA5D13609ED0E7,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ql2300i.sys,System32\drivers\ql2300i.sys,D45684E166E5F69D9822DE660D69E338,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\sisraid4.sys,System32\drivers\sisraid4.sys,E156CB3AAF1E2C397A8F93EA9ACD8290,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\pcw.sys,System32\drivers\pcw.sys,4AC3A1D2F9AC74DA7BA3A30344AAB664,(Verified) Microsoft Windows
5,c:\windows\syswow64\tsbyuv.dll,tsbyuv.dll,9D45DE74278CBC9B5B9FD5E4FC562600,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\mssmbios.sys,\SystemRoot\System32\drivers\mssmbios.sys,6EE73A7918BC1EC7EFAC4A32DCFC8B13,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\mstee.sys,\SystemRoot\System32\drivers\MSTEE.sys,18CE49B3D3C73B3DF4B5D566F0BADCC3,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\mtconfig.sys,\SystemRoot\System32\drivers\MTConfig.sys,DA4A165EFD14AB23DC9210A806252B41,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\mup.sys,System32\Drivers\mup.sys,5C7905E2EB6BE00E9C998A4BB8EC233D,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\mvumis.sys,System32\drivers\mvumis.sys,724459B4B727662A5F69A12AD31FC197,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ndfltr.sys,\SystemRoot\System32\drivers\ndfltr.sys,1599EAB4DC6DE373BC57F768A6AE770F,(Verified) Microsoft Windows
5,c:\windows\syswow64\msacm32.drv,msacm32.drv,6D46104344395F9997B93BB423F40BC0,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ndisimplatform.sys,System32\drivers\NdisImPlatform.sys,D51A226E5E7803894596683F6E0DC5B6,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ndistapi.sys,System32\DRIVERS\ndistapi.sys,E997374B5EBB4FC5528B4F653B2E6CAB,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ndisuio.sys,system32\drivers\ndisuio.sys,3BBF4C8BB52DCB265EF71E4F75369C65,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ndisvirtualbus.sys,\SystemRoot\System32\drivers\NdisVirtualBus.sys,69E1E41C47B2B11C53A6193E49ADEF11,(Verified) Microsoft Windows
5,c:\windows\syswow64\msvidc32.dll,msvidc32.dll,4AEC8EC1CF7393FEBC89A82FF3715743,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\ndiscap.sys,System32\drivers\ndiscap.sys,10D7989C206DFB0CB7AF85C38EE323D3,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\mspqm.sys,\SystemRoot\System32\drivers\MSPQM.sys,DE7DA242F4A7C0882006ADF6C541FA33,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\mouclass.sys,\SystemRoot\System32\drivers\mouclass.sys,46708375D885CDD367CB6027A515D0E0,(Verified) Microsoft Windows
5,c:\windows\system32\drivers\mouhid.sys,\SystemRoot\System32\drivers\mouhid.sys,165AE5452B9155025814BAE5535E3019,(Verified) Microsoft Windows
